datetime,portfolio_value,cash,positions,return
2025-05-01 00:00:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2025-05-02 00:00:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2025-05-03 00:00:00-04:00,99845.23429979355,75116.28062942179,"[{'asset': USD, 'quantity': 75116.28062942179}, {'asset': BTC, 'quantity': 0.2579428336774291}]",-0.0015476570020644953
2025-05-04 00:00:00-04:00,99441.08946798775,75116.28062942179,"[{'asset': USD, 'quantity': 75116.28062942179}, {'asset': BTC, 'quantity': 0.2579428336774291}]",-0.004047712789098323
2025-05-05 00:00:00-04:00,99322.83977294937,56025.20538291716,"[{'asset': USD, 'quantity': 56025.20538291716}, {'asset': BTC, 'quantity': 0.4570780705610039}]",-0.0011891431969522914
2025-05-05 00:00:00-04:00,99322.83977294937,56025.20538291716,"[{'asset': USD, 'quantity': 56025.20538291716}, {'asset': BTC, 'quantity': 0.4570780705610039}]",0.0
